asset_id,filename,layer_id,semantic_state,processing_status,assertion_count,evidence_count,review_status,analysis_run
444da390-0117-4380-8c87-d7c32f2903ff,IMG_9871.MOV,TREATMENT_PROCEDURE,UNKNOWN,COMPLETE,1,0,PENDING,425e7aa6-582c-5018-9d63-c8fe92d332ae
444da390-0117-4380-8c87-d7c32f2903ff,IMG_9871.MOV,ACTIONS_EVENTS,OBSERVED,COMPLETE,2,2,PENDING,425e7aa6-582c-5018-9d63-c8fe92d332ae
444da390-0117-4380-8c87-d7c32f2903ff,IMG_9871.MOV,RELATIONSHIPS,OBSERVED,COMPLETE,1,1,PENDING,425e7aa6-582c-5018-9d63-c8fe92d332ae
444da390-0117-4380-8c87-d7c32f2903ff,IMG_9871.MOV,CLINICAL_VISUAL_OBSERVATIONS,UNKNOWN,COMPLETE,1,0,PENDING,425e7aa6-582c-5018-9d63-c8fe92d332ae
444da390-0117-4380-8c87-d7c32f2903ff,IMG_9871.MOV,ENVIRONMENT,UNKNOWN,COMPLETE,1,0,PENDING,425e7aa6-582c-5018-9d63-c8fe92d332ae
444da390-0117-4380-8c87-d7c32f2903ff,IMG_9871.MOV,CINEMATOGRAPHY,OBSERVED,COMPLETE,4,4,PENDING,425e7aa6-582c-5018-9d63-c8fe92d332ae
444da390-0117-4380-8c87-d7c32f2903ff,IMG_9871.MOV,COMPOSITION,OBSERVED,COMPLETE,2,2,PENDING,425e7aa6-582c-5018-9d63-c8fe92d332ae
444da390-0117-4380-8c87-d7c32f2903ff,IMG_9871.MOV,SPEECH_TRANSCRIPT_AUDIO,OBSERVED,COMPLETE,4,1,PENDING,4951d58c-56d2-5f18-9658-a40b0023e565
444da390-0117-4380-8c87-d7c32f2903ff,IMG_9871.MOV,OCR_VISIBLE_TEXT,UNKNOWN,COMPLETE,1,0,PENDING,41d50aa8-2a8f-5b34-8eff-f0776647792c
444da390-0117-4380-8c87-d7c32f2903ff,IMG_9871.MOV,MARKETING_CONTENT_USAGE,OBSERVED,COMPLETE,2,2,PENDING,425e7aa6-582c-5018-9d63-c8fe92d332ae
444da390-0117-4380-8c87-d7c32f2903ff,IMG_9871.MOV,SEMANTIC_NARRATIVE,OBSERVED,COMPLETE,1,1,PENDING,bce3f9fa-d910-53b3-8ac2-4303ab57ad8c
444da390-0117-4380-8c87-d7c32f2903ff,IMG_9871.MOV,SEARCH_EMBEDDINGS,OBSERVED,COMPLETE,1,1,PENDING,425e7aa6-582c-5018-9d63-c8fe92d332ae
37838d30-a0ce-4f90-8cc3-c986db0aaa65,DSC03753.JPG,ASSET_IDENTITY_PROVENANCE,OBSERVED,COMPLETE,1,1,PENDING,ba7118d5-5d30-526e-be31-3ea32bff1031
37838d30-a0ce-4f90-8cc3-c986db0aaa65,DSC03753.JPG,GLOBAL_ASSET_UNDERSTANDING,OBSERVED,COMPLETE,1,1,PENDING,ba7118d5-5d30-526e-be31-3ea32bff1031
37838d30-a0ce-4f90-8cc3-c986db0aaa65,DSC03753.JPG,TEMPORAL_SCENE_STRUCTURE,NOT_APPLICABLE,COMPLETE,0,0,PENDING,ba7118d5-5d30-526e-be31-3ea32bff1031
37838d30-a0ce-4f90-8cc3-c986db0aaa65,DSC03753.JPG,PEOPLE_ROLES,OBSERVED,COMPLETE,1,1,PENDING,ba7118d5-5d30-526e-be31-3ea32bff1031
37838d30-a0ce-4f90-8cc3-c986db0aaa65,DSC03753.JPG,PERSON_APPEARANCE,OBSERVED,COMPLETE,4,4,PENDING,ba7118d5-5d30-526e-be31-3ea32bff1031
37838d30-a0ce-4f90-8cc3-c986db0aaa65,DSC03753.JPG,ANATOMY,OBSERVED,COMPLETE,3,3,PENDING,ba7118d5-5d30-526e-be31-3ea32bff1031
37838d30-a0ce-4f90-8cc3-c986db0aaa65,DSC03753.JPG,TREATMENT_PROCEDURE,UNKNOWN,COMPLETE,1,0,PENDING,ba7118d5-5d30-526e-be31-3ea32bff1031
37838d30-a0ce-4f90-8cc3-c986db0aaa65,DSC03753.JPG,ACTIONS_EVENTS,OBSERVED,COMPLETE,1,1,PENDING,ba7118d5-5d30-526e-be31-3ea32bff1031
37838d30-a0ce-4f90-8cc3-c986db0aaa65,DSC03753.JPG,RELATIONSHIPS,OBSERVED,COMPLETE,1,1,PENDING,ba7118d5-5d30-526e-be31-3ea32bff1031
37838d30-a0ce-4f90-8cc3-c986db0aaa65,DSC03753.JPG,CLINICAL_VISUAL_OBSERVATIONS,OBSERVED,COMPLETE,1,1,PENDING,ba7118d5-5d30-526e-be31-3ea32bff1031
37838d30-a0ce-4f90-8cc3-c986db0aaa65,DSC03753.JPG,ENVIRONMENT,UNKNOWN,COMPLETE,1,0,PENDING,ba7118d5-5d30-526e-be31-3ea32bff1031
37838d30-a0ce-4f90-8cc3-c986db0aaa65,DSC03753.JPG,CINEMATOGRAPHY,OBSERVED,COMPLETE,4,4,PENDING,ba7118d5-5d30-526e-be31-3ea32bff1031
37838d30-a0ce-4f90-8cc3-c986db0aaa65,DSC03753.JPG,COMPOSITION,OBSERVED,COMPLETE,3,3,PENDING,ba7118d5-5d30-526e-be31-3ea32bff1031
37838d30-a0ce-4f90-8cc3-c986db0aaa65,DSC03753.JPG,SPEECH_TRANSCRIPT_AUDIO,NOT_APPLICABLE,COMPLETE,0,0,PENDING,ba7118d5-5d30-526e-be31-3ea32bff1031
37838d30-a0ce-4f90-8cc3-c986db0aaa65,DSC03753.JPG,OCR_VISIBLE_TEXT,FALSE,COMPLETE,1,1,PENDING,ec10fcde-91f4-55af-8b70-41e4ff34855e
37838d30-a0ce-4f90-8cc3-c986db0aaa65,DSC03753.JPG,MARKETING_CONTENT_USAGE,OBSERVED,COMPLETE,2,2,PENDING,ba7118d5-5d30-526e-be31-3ea32bff1031
